date,amount,name,merchant_name,pfc_primary,pfc_detailed
2026-08-27,15.8,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-27,31.08,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-27,51.68,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-27,37.32,VIDALIA'S RESTAURANT,Vidalia's Restaurant,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-27,35.02,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-28,38.45,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-28,17.94,Chick-fil-A,Chick-fil-A,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-08-28,11.49,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-08-28,11.11,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-08-28,19.24,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-08-28,17.92,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-29,24.94,TAQUERIA EL GUERRERO,Taqueria El Guerrero,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-29,9.86,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-29,50.15,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-29,31.11,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-30,36.73,Amazon,Amazon,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
2026-08-30,40.44,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-08-30,44.51,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-08-30,52.48,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-30,18.15,Nike,Nike,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS
2026-08-30,41.66,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-08-30,35.02,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-31,51.64,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-31,29.5,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-08-31,28.45,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-31,58.84,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-31,43.22,IKEA CHICAGO,IKEA,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE
2026-09-01,14.75,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-02,23.42,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-02,10.99,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-02,19.35,TAQUERIA EL GUERRERO,Taqueria El Guerrero,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-02,23.41,The Press Club,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR
2026-09-02,6.88,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-02,46.63,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-03,15.12,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-03,27.16,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-03,39.81,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-03,43.67,Uber Eats,Uber Eats,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-03,40.3,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-03,-1554.94,UBER PAYOUT,Uber,INCOME,INCOME_GIG_ECONOMY
2026-09-04,33.81,Nike,Nike,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS
2026-09-04,44.34,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-04,33.32,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-04,58.98,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-04,23.63,Chick-fil-A,Chick-fil-A,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-04,15.48,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-05,36.05,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-05,32.22,Costco,Costco,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-05,13.08,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-05,53.92,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-05,16.22,Publix,Publix,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-06,11.12,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-06,40.98,IKEA CHICAGO,IKEA,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE
2026-09-06,53.68,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-07,31.79,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-07,48.53,IKEA CHICAGO,IKEA,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE
2026-09-07,33.05,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-09-07,58.23,VEG & GO PLANT BASED RIVERSIDE CA VEG & GOYUM YUM # 11M CA YUM YUM # 11M,Veg & Go Plant Based Fast Food,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-07,26.59,Walmart,Walmart,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-07,33.62,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-08,27.58,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-08,8.17,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-08,52.23,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-09,38.2,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-09,14.5,Uber Eats,Uber Eats,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-09,48.22,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-09,34.63,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-09,34.06,DD DOORDASH BOSTONMAR,DoorDash,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-09,30.57,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-09,24.67,Costco,Costco,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-10,15.59,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-09-10,44.84,VIDALIA'S RESTAURANT,Vidalia's Restaurant,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-10,6.2,Uber Eats,Uber Eats,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-10,43.71,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-10,29.79,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-11,53.56,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-11,12.54,Costco,Costco,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-09-11,40.65,IKEA CHICAGO,IKEA,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE
2026-09-11,43.19,Chick-fil-A,Chick-fil-A,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-11,52.07,VIDALIA'S RESTAURANT,Vidalia's Restaurant,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-11,20.15,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-11,-1735.77,Lyft,Lyft,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES
2026-09-12,58.77,Uber Eats,Uber Eats,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-12,11.41,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-12,7.18,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-13,44.21,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-13,7.55,IKEA CHICAGO,IKEA,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE
2026-09-13,37.07,Amazon,Amazon,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
2026-09-13,12.87,Nike,Nike,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS
2026-09-13,51.61,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-14,37.5,TAQUERIA EL GUERRERO,Taqueria El Guerrero,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-14,36.82,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-09-14,13.27,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-14,36.03,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-14,54.74,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-15,45.37,Uber Eats,Uber Eats,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-09-15,44.18,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-15,47.17,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-15,12.37,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-15,41.42,Amazon,Amazon,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
2026-09-15,-1077.93,Lyft,Lyft,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES
2026-09-16,26.33,Domino's,Domino's,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-16,39.8,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-09-16,49.78,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-16,45.06,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-16,15.22,Amazon,Amazon,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
2026-09-16,54.24,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-16,34.91,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-09-17,41.79,Amazon,Amazon,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
2026-09-17,27.08,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
2026-09-17,25.94,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-09-17,27.57,The Press Club,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR
2026-09-17,33.86,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
