customer_id,account_id,mask,name,official_name,subtype,type,balance_available,balance_current,balance_limit,iso_currency_code
cu_00021,acc_501ad51eda78868c62d8,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,807.9,807.9,,USD
cu_00021,acc_f26cd9da44865be38cdb,9921,Online Savings,High Yield Online Savings,savings,depository,899.16,899.16,,USD
cu_00021,acc_c2edc52c7b04ed4a8754,0083,Freedom Card,Freedom Rewards Card,credit card,credit,6881.91,4618.09,11500,USD
cu_00022,acc_b01ef7ee88014ece2a04,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,8788.59,8788.59,,USD
cu_00022,acc_76b2b849530740fb128b,9921,Online Savings,High Yield Online Savings,savings,depository,7326.39,7326.39,,USD
cu_00022,acc_8985509bb8404ccd0ff7,0083,Freedom Card,Freedom Rewards Card,credit card,credit,1855.7,2744.3,4600,USD
cu_00023,acc_7e80bd040a783b337c38,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,27206.87,27206.87,,USD
cu_00023,acc_db05e8d4d13e30fe9eda,0083,Freedom Card,Freedom Rewards Card,credit card,credit,7363.68,936.32,8300,USD
cu_00024,acc_26161127ddbdd2c7fef2,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,36344.46,36344.46,,USD
cu_00024,acc_b1d758f8966415b33a10,9921,Online Savings,High Yield Online Savings,savings,depository,11808.39,11808.39,,USD
cu_00024,acc_61765d0f353d8a6a9436,0083,Freedom Card,Freedom Rewards Card,credit card,credit,17190.3,3409.7,20600,USD
cu_00025,acc_15f1c247e0742efc6771,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,9125.64,9125.64,,USD
cu_00025,acc_42aad620c1b16e86e1b6,9921,Online Savings,High Yield Online Savings,savings,depository,6485.34,6485.34,,USD
cu_00025,acc_11f794c6c27e061c6f12,0083,Freedom Card,Freedom Rewards Card,credit card,credit,11359.2,140.8,11500,USD
cu_00026,acc_a17214160b733c7cfdf1,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,5711.43,5711.43,,USD
cu_00026,acc_ccffb232713e96b070b6,9921,Online Savings,High Yield Online Savings,savings,depository,2824.35,2824.35,,USD
cu_00026,acc_e4295ffb60e3b7138a9f,0083,Freedom Card,Freedom Rewards Card,credit card,credit,8387.65,5612.35,14000,USD
cu_00027,acc_eb214a272709c8c5b6b7,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,2.56,2.56,,USD
cu_00027,acc_7038e31f5d1f7a742298,0083,Freedom Card,Freedom Rewards Card,credit card,credit,4282.47,2917.53,7200,USD
cu_00028,acc_e16e68df9413ce2d1c00,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,18575.67,18575.67,,USD
cu_00028,acc_86a16a23efa40fc08384,0083,Freedom Card,Freedom Rewards Card,credit card,credit,5611.22,1188.78,6800,USD
cu_00029,acc_b6117c45c9625d4a2ca1,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,456.12,456.12,,USD
cu_00029,acc_ed8edcefd81b8953e94f,0083,Freedom Card,Freedom Rewards Card,credit card,credit,926.05,773.95,1700,USD
